Pressure(kPa),Loading(mmol/g)
0.0678149,0.046031696
0.197,0.136588393
0.264,0.185010714
0.33,0.232916071
0.496,0.356950893
0.663,0.485827679
0.83,0.618877232
0.998,0.757100446
1.318,1.035158482
2.04,1.630123661
2.682,2.092730804
4.21,2.881622321
5.243,3.231611607
6.534,3.548109375
7.927,3.797585714
9.228,3.977116964
10.62,4.131727679
11.96,4.254320089
13.317,4.359639732
15.336,4.49041875
17.306,4.596655804
19.265,4.686961161
21.315,4.768656696
23.277,4.837138839
25.285,4.899600893
27.324,4.956481696
29.363,5.008293304
31.287,5.052475
33.372,5.097009821
35.28,5.134242411
37.34,5.172199107
39.334,5.205952679
41.26,5.237289732
43.244,5.267125893
45.291,5.296213839
47.328,5.323414732
49.346,5.349418304
51.28,5.373349554
53.374,5.397254464
55.403,5.41970625
57.406,5.440700893
59.363,5.460653125
61.389,5.480616071
63.347,5.498828571
65.379,5.517757143
67.426,5.535329464
69.355,5.552202232
71.385,5.569302679
73.342,5.584459821
75.405,5.600214732
77.334,5.615679911
79.359,5.629710268
81.385,5.644655357
83.399,5.658479018
85.339,5.671389732
87.345,5.684816518
89.342,5.697179911
91.394,5.7100625
93.412,5.722291071
95.329,5.733370536
97.429,5.745637054
99.34,5.756285268
